"","datetime","discharge"
"1",2018-04-28 01:00:00,10860
"2",2018-04-28 02:00:00,10924
"3",2018-04-28 03:00:00,10992
"4",2018-04-28 04:00:00,11062
"5",2018-04-28 05:00:00,11136
"6",2018-04-28 06:00:00,11211
"7",2018-04-28 07:00:00,11286
"8",2018-04-28 08:00:00,11361
"9",2018-04-28 09:00:00,11435
"10",2018-04-28 10:00:00,11509
"11",2018-04-28 11:00:00,11583
"12",2018-04-28 12:00:00,11655
"13",2018-04-28 13:00:00,11728
"14",2018-04-28 14:00:00,11799
"15",2018-04-28 15:00:00,11869
"16",2018-04-28 16:00:00,11938
"17",2018-04-28 17:00:00,12005
"18",2018-04-28 18:00:00,12071
"19",2018-04-28 19:00:00,12134
"20",2018-04-28 20:00:00,12194
"21",2018-04-28 21:00:00,12250
"22",2018-04-28 22:00:00,12302
"23",2018-04-28 23:00:00,12351
"24",2018-04-29 00:00:00,12395
"25",2018-04-29 01:00:00,12435
"26",2018-04-29 02:00:00,12471
"27",2018-04-29 03:00:00,12503
"28",2018-04-29 04:00:00,12532
"29",2018-04-29 05:00:00,12556
"30",2018-04-29 06:00:00,12577
"31",2018-04-29 07:00:00,12594
"32",2018-04-29 08:00:00,12607
"33",2018-04-29 09:00:00,12615
"34",2018-04-29 10:00:00,12620
"35",2018-04-29 11:00:00,12621
"36",2018-04-29 12:00:00,12620
"37",2018-04-29 13:00:00,12615
"38",2018-04-29 14:00:00,12608
"39",2018-04-29 15:00:00,12599
"40",2018-04-29 16:00:00,12587
"41",2018-04-29 17:00:00,12574
"42",2018-04-29 18:00:00,12558
"43",2018-04-29 19:00:00,12541
"44",2018-04-29 20:00:00,12522
"45",2018-04-29 21:00:00,12501
"46",2018-04-29 22:00:00,12478
"47",2018-04-29 23:00:00,12453
"48",2018-04-30 00:00:00,12427
"49",2018-04-30 01:00:00,12399
"50",2018-04-30 02:00:00,12369
"51",2018-04-30 03:00:00,12338
"52",2018-04-30 04:00:00,12306
"53",2018-04-30 05:00:00,12272
"54",2018-04-30 06:00:00,12238
"55",2018-04-30 07:00:00,12202
"56",2018-04-30 08:00:00,12165
"57",2018-04-30 09:00:00,12127
"58",2018-04-30 10:00:00,12088
"59",2018-04-30 11:00:00,12048
"60",2018-04-30 12:00:00,12007
"61",2018-04-30 13:00:00,11966
"62",2018-04-30 14:00:00,11924
"63",2018-04-30 15:00:00,11882
"64",2018-04-30 16:00:00,11841
"65",2018-04-30 17:00:00,11799
"66",2018-04-30 18:00:00,11757
"67",2018-04-30 19:00:00,11714
"68",2018-04-30 20:00:00,11672
"69",2018-04-30 21:00:00,11629
"70",2018-04-30 22:00:00,11585
"71",2018-04-30 23:00:00,11541
"72",2018-05-01 00:00:00,11495
"73",2018-05-01 01:00:00,11450
"74",2018-05-01 02:00:00,11404
"75",2018-05-01 03:00:00,11356
"76",2018-05-01 04:00:00,11309
"77",2018-05-01 05:00:00,11260
"78",2018-05-01 06:00:00,11212
"79",2018-05-01 07:00:00,11163
"80",2018-05-01 08:00:00,11112
"81",2018-05-01 09:00:00,11061
"82",2018-05-01 10:00:00,11009
"83",2018-05-01 11:00:00,10955
"84",2018-05-01 12:00:00,10902
"85",2018-05-01 13:00:00,10848
"86",2018-05-01 14:00:00,10794
"87",2018-05-01 15:00:00,10741
"88",2018-05-01 16:00:00,10689
"89",2018-05-01 17:00:00,10637
"90",2018-05-01 18:00:00,10586
"91",2018-05-01 19:00:00,10536
"92",2018-05-01 20:00:00,10486
"93",2018-05-01 21:00:00,10437
"94",2018-05-01 22:00:00,10387
"95",2018-05-01 23:00:00,10337
"96",2018-05-02 00:00:00,10288
"97",2018-05-02 01:00:00,10238
"98",2018-05-02 02:00:00,10189
"99",2018-05-02 03:00:00,10140
"100",2018-05-02 04:00:00,10092
"101",2018-05-02 05:00:00,10043
"102",2018-05-02 06:00:00,9995.7
"103",2018-05-02 07:00:00,9948
"104",2018-05-02 08:00:00,9900
"105",2018-05-02 09:00:00,9851.7
"106",2018-05-02 10:00:00,9802.9
"107",2018-05-02 11:00:00,9754
"108",2018-05-02 12:00:00,9705.5
"109",2018-05-02 13:00:00,9657.5
"110",2018-05-02 14:00:00,9610.5
"111",2018-05-02 15:00:00,9564.5
"112",2018-05-02 16:00:00,9519.7
"113",2018-05-02 17:00:00,9476.5
"114",2018-05-02 18:00:00,9434.7
"115",2018-05-02 19:00:00,9394.3
"116",2018-05-02 20:00:00,9355
"117",2018-05-02 21:00:00,9316.3
"118",2018-05-02 22:00:00,9277.9
"119",2018-05-02 23:00:00,9240
"120",2018-05-03 00:00:00,9202.2
"121",2018-05-03 01:00:00,9165
"122",2018-05-03 02:00:00,9133
"123",2018-05-03 03:00:00,9102.6
"124",2018-05-03 04:00:00,9068.1
"125",2018-05-03 05:00:00,9032.7
"126",2018-05-03 06:00:00,8997.2
"127",2018-05-03 07:00:00,8961.8
"128",2018-05-03 08:00:00,8926.2
"129",2018-05-03 09:00:00,8890.1
"130",2018-05-03 10:00:00,8853.5
"131",2018-05-03 11:00:00,8816.6
"132",2018-05-03 12:00:00,8779.7
"133",2018-05-03 13:00:00,8743.1
