"","datetime","discharge_daily"
"1",2014-01-01,3005.2347826087
"2",2014-01-02,2889.62916666667
"3",2014-01-03,2701.7
"4",2014-01-04,2602.26666666667
"5",2014-01-05,2486.5125
"6",2014-01-06,2535.3375
"7",2014-01-07,2838.925
"8",2014-01-08,2982.6875
"9",2014-01-09,2870.40833333333
"10",2014-01-10,2697.9875
"11",2014-01-11,2904.475
"12",2014-01-12,3287.55416666667
"13",2014-01-13,3279.82916666667
"14",2014-01-14,3720.075
"15",2014-01-15,3888.07083333333
"16",2014-01-16,3944.375
"17",2014-01-17,4097.89583333333
"18",2014-01-18,4380.25416666667
"19",2014-01-19,5075.99166666667
"20",2014-01-20,5657.55
"21",2014-01-21,5665.45416666667
"22",2014-01-22,5590.475
"23",2014-01-23,5462.92916666667
"24",2014-01-24,5363.54166666667
"25",2014-01-25,5323.82916666667
"26",2014-01-26,5267.6625
"27",2014-01-27,5130.3625
"28",2014-01-28,4912.5
"29",2014-01-29,4661.6125
"30",2014-01-30,4400.49583333333
"31",2014-01-31,4152.41666666667
"32",2014-02-01,4000.1375
"33",2014-02-02,3902.87083333333
"34",2014-02-03,6571.77916666667
"35",2014-02-04,11039.7458333333
"36",2014-02-05,11470.125
"37",2014-02-06,10946.125
"38",2014-02-07,11918.0416666667
"39",2014-02-08,12234
"40",2014-02-09,12006.7916666667
"41",2014-02-10,11799
"42",2014-02-11,11363.1666666667
"43",2014-02-12,10644.3333333333
"44",2014-02-13,10180.65
"45",2014-02-14,10315.0541666667
"46",2014-02-15,11146.875
"47",2014-02-16,11780.9166666667
"48",2014-02-17,11379.875
"49",2014-02-18,11213.4583333333
"50",2014-02-19,12576.25
"51",2014-02-20,16346.875
"52",2014-02-21,21236.9166666667
"53",2014-02-22,42037.25
"54",2014-02-23,55036.125
"55",2014-02-24,51207.0833333333
"56",2014-02-25,40096.2916666667
"57",2014-02-26,32151.4166666667
"58",2014-02-27,26682.5
"59",2014-02-28,22440.7083333333
"60",2014-03-01,19419.25
"61",2014-03-02,17475.75
"62",2014-03-03,16922.8333333333
"63",2014-03-04,16012.125
"64",2014-03-05,15655.625
"65",2014-03-06,15669.3333333333
"66",2014-03-07,15449.5
"67",2014-03-08,14915.0833333333
"68",2014-03-09,14337.5
"69",2014-03-10,14072.5416666667
"70",2014-03-11,14278.2083333333
"71",2014-03-12,14666.4166666667
"72",2014-03-13,15350.2916666667
"73",2014-03-14,16582.2916666667
"74",2014-03-15,17007.0416666667
"75",2014-03-16,16305.25
"76",2014-03-17,15331.0416666667
"77",2014-03-18,13900.3333333333
"78",2014-03-19,13382.5833333333
"79",2014-03-20,13910.4583333333
"80",2014-03-21,14231.3333333333
"81",2014-03-22,14142.5416666667
"82",2014-03-23,14114.75
"83",2014-03-24,13925.0833333333
"84",2014-03-25,13592.4583333333
"85",2014-03-26,13190.3333333333
